Id,Site,Country,Latitude,Longitude,Coordinate Confidence,Procurement Method,Character,Chronozone (Relative),Relative Dating (0/1),Radiocarbon Dating (0/1),OSL Dating (0/1),CalBP,STD,Validity,Comment,CalBP-Pulses,CalBP-Broad,Reference
1,Bjerlev Hede/Anesminde,Denmark,55.809389,9.445769,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,1 shouldered projectile point,14.520 - 14.100,15.000 - 13.800,Becker 1969
2,Nordre Fasanvej 215,Denmark,55.696235,12.534622,Precise,Excavation,Single Find,Bølling,0,1,0,,,,Proximale del af rensdyrgevir med skære- og slagmærker. En samtdig pollendatering til Bølling bekræftes af en C14-datering til 12050 +/- 90 BP (ukalib),14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
3,Ring Mark,Denmark,56.397182,10.350899,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,"1 Zinken, follow up survey yielded only uncharacteristic flakes",14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
4,Taps/Brænøre,Denmark,55.397154,9.421748,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,1 Shouldered point,14.520 - 14.100,15.000 - 13.800,Holm & Rieck 1992
5,Tranegilde Tofter,Denmark,55.623749,12.3508,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,Possible lithic artefacts of Lateglacial origin (possible Zinken and Whelen scraper),14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
6,Blå Å,Denmark,55.381336,9.252174,Precise,Excavation,Single Find,Bølling,1,0,0,,,Questionable,1 bipolar knapping core,14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
7,Bøgebjerg,Denmark,55.572607,9.404858,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,1 projectile point,14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
8,Hoby,Denmark,54.739396,11.234696,Precise,Excavation,Single Find,Bølling,1,0,0,,,Questionable,1 undefined lithic,14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
9,Hykkelbjerg,Denmark,55.381251,9.517238,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,1 undefined lithic,14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
10,Jels,Denmark,55.358825,9.219405,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,Holm & Rieck 1992
11,Krogsbølle,Denmark,54.843938,11.158477,Precise,Excavation,Assemblage,Bølling,1,0,1,,,Definite,,14.520 - 14.100,15.000 - 13.800,
12,Sølbjerg 2,Denmark,54.762641,11.097736,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,Petersen & Johansen 1994
13,Nylandsgård,Denmark,54.961262,11.420663,Precise,Surface Find,Single Find,Bølling,1,0,0,,,Questionable,1 projectile point of Havelte variant,14.520 - 14.100,15.000 - 13.800,Danish find database (Unpublished)
14,Slotseng b,Denmark,55.329464,9.269621,Precise,Excavation,Assemblage,Bølling,1,1,0,14330,210,Definite,,14.520 - 14.100,15.000 - 13.800,Holm & Rieck 1992
15,Een-Schipsloot,The Netherlands,53.075631,6.393059,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,
16,Ahrenshöft LA 86,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
17,Ahrenshöft LA 73,Germany,54.558173,9.084849,Precise,Excavation,Assemblage,Bølling,1,1,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,Clausen 1998
18,Ahrenshöft LA 58A,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
19,Ahrenshöft LA 58B,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
20,Ahrenshöft LA 58C,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
21,Ahrenshöft LA 58D,Germany,54.558173,9.084849,Precise,Excavation,Assemblage,Bølling,1,1,0,13920,90,Definite,,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
22,Ahrenshöft LA 58E,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
23,Ahrenshöft LA 58F,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,Weber 2010
24,Ahrenshöft LA 79,Germany,54.558173,9.084849,Precise,Surface Find,,Bølling,1,0,0,,,Definite,Classic?,14.520 - 14.100,15.000 - 13.800,"Weber 2010, Hartz 1987"
25,Meiendorf II & IX,Germany,53.635202,10.192473,Precise,Excavation,Assemblage,Bølling,1,1,0,14540,250,Definite,,14.750 - 14.470,15.000 - 13.800,"Burdukiewicz 1986 after Rust 1937 (Meiendorf 2), Tromnau 1975b (Meiendorf 9)"
26,Mirkowice 33,Poland,52.768771,17.411941,Precise,Excavation,Assemblage,Bølling,1,1,0,14430,220,Definite,,14.750 - 14.470,15.000 - 13.800,
27,Olbrachice VIII,Poland,51.769791,16.372641,Precise,Excavation,Assemblage,Bølling,1,1,0,15120,390,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986
28,Poggenwisch,Germany,53.635202,10.192473,Precise,Excavation,Assemblage,Bølling,1,1,0,14670,110,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Rust 1958
29,Stellmoor,Germany,53.635202,10.192473,Precise,Excavation,Assemblage,Bølling,1,1,0,14780,110,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Rust 1943
30,Deimern 42,Germany,53.033988,9.900913,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Tromnau 1975c
31,Duurswoude II,The Netherlands,53.063383,6.220266,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,Burdukiewicz 1986 after Bohmers & Houtsma 1962
32,Havelte Holtingerzand,The Netherlands,52.771151,6.235213,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,
33,Mölleröd,Sweden,56.158842,13.694993,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Questionable,,14.520 - 14.100,15.000 - 13.800,
34,Ureterp I,The Netherlands,53.091518,6.157883,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Bohmers 1947
35,Oldeholtwolde,The Netherlands,52.915081,6.008081,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Questionable,,14.520 - 14.100,15.000 - 13.800,
36,Dörgener Moor,Germany,52.710668,7.382702,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.520 - 14.100,15.000 - 13.800,Schwabedissen 1937
37,Teltwisch I-III,Germany,53.635202,10.192473,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Tromnau 1975b
38,Stellmoor,Germany,53.635202,10.192473,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,
39,Pennenmoor,Germany,53.858124,8.618619,Uncertain,Excavation (by amateur),Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Schwabedissen 1937
40,Heber 118,Germany,52.989963,9.846287,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Tromnau 1975c
41,Heber 127,Germany,52.989963,9.846287,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,Questionable,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Tromnau 1975c
42,Hasewisch,Germany,53.635202,10.192473,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Rust 1958
43,Borneck,Germany,53.660799,10.243921,Precise,Excavation,Assemblage,Bølling,1,0,0,,,Definite,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Rust 1958
44,Neer II,The Netherlands,51.254287,5.941773,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,
45,Wandhofen,Germany,51.438815,7.553101,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,
46,Querenstede,Germany,53.157081,7.959159,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,
47,Wojnowo,Poland,52.099445,15.785124,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,
48,Siedlnica 17a,Poland,51.764142,16.333385,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986
49,Schalkholz,Germany,54.245896,9.247623,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,
50,Luttenberg,The Netherlands,52.405633,6.366104,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.100,15.000 - 13.800,Stapert 1986
51,Donderen,The Netherlands,53.091542,6.544161,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.100,15.000 - 13.800,
52,Elsloo-Tronde,The Netherlands,52.950517,6.227901,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.100,15.000 - 13.800,
53,Vledder,The Netherlands,52.857857,6.210336,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.100,15.000 - 13.800,
54,Nowy Mlyn,Poland,52.758016,16.945442,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,
55,Stroe,The Netherlands,52.185342,5.754012,Precise,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.100,15.000 - 13.800,Rensink & De Kort 2012
56,Harderwijk,The Netherlands,52.344508,5.630425,Uncertain,,,,,0,0,,,,,14.520 - 14.100,15.000 - 13.800,Burdukiewicz 1986
57,Elspeet,The Netherlands,52.292208,5.786306,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.101,15.000 - 13.800,Burdukiewicz 1986 after Popping 1931
58,Soesterduinen,The Netherlands,52.147374,5.298709,Uncertain,,,,,0,0,,,,,14.520 - 14.102,15.000 - 13.800,Burdukiewicz 1986
59,Appelscha,The Netherlands,52.947076,6.355751,Uncertain,,,,,0,0,,,,,14.520 - 14.103,15.000 - 13.800,Burdukiewicz 1986
60,Bakkeveen,The Netherlands,53.080277,6.257038,Uncertain,,,,,0,0,,,,,14.520 - 14.104,15.000 - 13.800,Burdukiewicz 1986
61,Houtigehage,The Netherlands,53.153074,6.144428,Uncertain,,,,,0,0,,,,,14.520 - 14.105,15.000 - 13.800,Burdukiewicz 1986
62,Makkinga,The Netherlands,52.980629,6.217037,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,Looks like the Oldeholtwolde material,14.520 - 14.106,15.000 - 13.800,Burdukiewicz 1986 after Popping 1934
63,Oostermeer,The Netherlands,53.176909,6.057873,Uncertain,,,,,0,0,,,,,14.520 - 14.107,15.000 - 13.800,Burdukiewicz 1986
64,Suameer,The Netherlands,53.177436,6.002077,Uncertain,,,,,0,0,,,,,14.520 - 14.108,15.000 - 13.800,Burdukiewicz 1986
65,Weper,The Netherlands,53.008193,6.303932,Uncertain,,,,,0,0,,,,,14.520 - 14.109,15.000 - 13.800,Burdukiewicz 1986
66,Wijnjeterp,The Netherlands,53.056032,6.206326,Uncertain,,,,,0,0,,,,,14.520 - 14.110,15.000 - 13.800,Burdukiewicz 1986
67,Aalden,The Netherlands,52.791841,6.717584,Uncertain,,,,,0,0,,,,,14.520 - 14.111,15.000 - 13.800,Burdukiewicz 1986
68,Eelde,The Netherlands,53.133194,6.565728,Uncertain,,,,,0,0,,,,,14.520 - 14.112,15.000 - 13.800,Burdukiewicz 1986
69,Gasselte,The Netherlands,52.971013,6.787769,Uncertain,,,,,0,0,,,,,14.520 - 14.113,15.000 - 13.800,Burdukiewicz 1986
70,Gees,The Netherlands,52.749595,6.691205,Uncertain,,,,,0,0,,,,,14.520 - 14.114,15.000 - 13.800,Burdukiewicz 1986
71,Rolde,The Netherlands,52.987317,6.646361,Uncertain,,,,,0,0,,,,,14.520 - 14.115,15.000 - 13.800,Burdukiewicz 1986
72,Zwarte Water (near Eursinge),The Netherlands,52.776974,6.445156,Uncertain,,,,,0,0,,,,,14.520 - 14.116,15.000 - 13.800,Burdukiewicz 1986
73,Zeijen,The Netherlands,53.047191,6.546823,Uncertain,,,,,0,0,,,,,14.520 - 14.117,15.000 - 13.800,Burdukiewicz 1986
74,Marum,The Netherlands,53.146168,6.267059,Uncertain,,,,,0,0,,,,,14.520 - 14.118,15.000 - 13.800,Burdukiewicz 1986
75,Texel,The Netherlands,53.054441,4.799048,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.520 - 14.119,15.000 - 13.800,Stapert 2015
76,Peheim,Germany,52.882189,7.843351,Uncertain,Surface Find,Single Find,,,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Schwabedissen 1937
77,Glander Heide (near Wildeshausen),Germany,52.891008,8.426995,Uncertain,Surface Find,Assemblage,,,0,0,,,,Described as 'irregular shouldered point (kerbspitze),14.750 - 14.471,15.000 - 13.800,Schwabedissen 1937
78,Liny I,Poland,52.109491,15.840041,Uncertain,Excavation,Assemblage,,,0,0,,,,,14.750 - 14.472,15.000 - 13.800,Burdukiewicz 1986 after Kobusiewicz 1973
79,Rogow Opolski IX,Poland,50.520605,17.943427,Uncertain,Excavation,Assemblage,,,0,0,,,,,14.750 - 14.473,15.000 - 13.800,Burdukiewicz 1986 after Rothert 1936
80,"Obourg, St. Macaire",Belgium,50.474145,4.009292,Uncertain,Excavation,Assemblage,,,0,0,,,,,14.750 - 14.474,15.000 - 13.800,Letocart 1970
81,Grömitz,Germany,54.150196,10.959841,Uncertain,Surface Find,Assemblage,,,0,0,,,,Brückner writes younger Hamburgian based on 1 doubtful tanged point,14.750 - 14.475,15.000 - 13.800,Brückner 1970
82,Duurswoude IV,The Netherlands,53.063383,6.220266,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Burdukiewicz 1986 after Bohmers & Houtsma 1962
83,Drage,Germany,54.008734,9.532598,Uncertain,Surface Find,Single Find,Bølling,1,0,0,,,,,14.520 - 14.100,15.000 - 13.800,Schwabedissen 1937
84,Volksdorf,Germany,53.647771,10.164872,Uncertain,Surface Find,Single Find,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Schwabedissen 1937
85,Rendsburg,Germany,54.307958,9.659403,Uncertain,,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Schwabedissen 1937
86,Klein Vollbüttel,Germany,52.416721,10.488861,Uncertain,,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Schwabedissen 1937
87,Stade-Lampe,Germany,53.592479,9.471237,Uncertain,,Assemblage,Bølling,1,0,0,,,,,14.750 - 14.470,15.000 - 13.800,Schwabedissen 1937
88,Prangenbusch,Germany,53.861581,8.614109,Uncertain,,Assemblage,Bølling,1,0,0,,,,Only zinkens are described,14.750 - 14.471,15.000 - 13.800,Schwabedissen 1937
89,Marmstorf,Germany,53.433384,9.952875,Uncertain,Surface Find,Single Find,Bølling,1,0,0,,,,Described merely as 'kerbspitze',14.750 - 14.472,15.000 - 13.800,Schwabedissen 1937
90,Glüsingen,Germany,53.408293,10.016194,Uncertain,Surface Find,Single Find,Bølling,1,0,0,,,,Described merely as 'kerbspitze',14.750 - 14.473,15.000 - 13.800,Schwabedissen 1937
91,Nübel,Germany,54.563504,9.584485,Uncertain,,,Bølling,1,0,0,,,,Marked on map as Havelte,14.520 - 14.100,15.000 - 13.800,Terberger & Lübke 2005
92,Lüssow,Germany,53.831152,12.146901,Precise,Surface Find,Single Find,Bølling,1,0,0,,,,Dobbelzinken found among lithic material stemming from various periods,14.750 - 14.469,15.000 - 13.800,Terberger & Lübke 2005
93,Gramnitz,Germany,53.405478,11.123149,Uncertain,Surface Find,Single Find,Bølling,1,0,0,,,,Single find of shouldered point,14.750 - 14.470,15.000 - 13.800,Terberger & Lübke 2005
94,Glasewitz,Germany,53.819888,12.280241,Uncertain,Surface Find,Single Find,Bølling,1,0,0,,,,Single find of shouldered point,14.750 - 14.470,15.000 - 13.800,Terberger & Lübke 2005
95,Hasenworth,Germany,53.861581,8.614109,Uncertain,Excavation,Assemblage,Bølling,1,0,0,,,,Described as younger Hamburgian 'like Poggenwisch',14.750 - 14.470,15.000 - 13.800,Langner 1979
96,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
